date,match,pr,result,score
23.11.2019 20:00,KONYASPOR-BEŞİKTAŞ A.Ş.,22.11.2019 - 25.11.2019,2,0 - 1
24.11.2019 19:00,Y.MALATYASPOR-FENERBAHÇE A.Ş.,22.11.2019 - 25.11.2019,0,0 - 0
22.11.2019 20:30,GALATASARAY A.Ş.-M.BAŞAKŞEHİR,22.11.2019 - 25.11.2019,2,0 - 1
23.11.2019 17:30,MKE ANKARAGÜCÜ-TRABZONSPOR A.Ş.,22.11.2019 - 25.11.2019,2,0 - 3
23.11.2019 15:00,DENİZLİSPOR-Ç.RİZESPOR A.Ş.,22.11.2019 - 25.11.2019,1,2 - 0
24.11.2019 14:00,KAYSERİSPOR-SİVASSPOR,22.11.2019 - 25.11.2019,2,1 - 4
24.11.2019 16:30,A.ALANYASPOR-GÖZTEPE A.Ş.,22.11.2019 - 25.11.2019,2,0 - 1
24.11.2019 16:30,KASIMPAŞA A.Ş.-GENÇLERBİRLİĞİ,22.11.2019 - 25.11.2019,2,1 - 2
25.11.2019 20:00,ANTALYASPOR A.Ş.-GAZİANTEP FK A.Ş.,22.11.2019 - 25.11.2019,0,1 - 1
23.11.2019 15:30,WEST HAM UNITED-TOTTENHAM,22.11.2019 - 25.11.2019,2,2 - 3
23.11.2019 17:30,WERDER BREMEN-SCHALKE,22.11.2019 - 25.11.2019,2,1 - 2
23.11.2019 20:00,AC MILAN-NAPOLI,22.11.2019 - 25.11.2019,0,1 - 1
23.11.2019 20:30,MANCHESTER CITY-CHELSEA,22.11.2019 - 25.11.2019,1,2 - 1
23.11.2019 23:00,REAL MADRID-REAL SOCIEDAD,22.11.2019 - 25.11.2019,1,3 - 1
24.11.2019 17:00,BORDEAUX-MONACO,22.11.2019 - 25.11.2019,1,2 - 1
27.09.2019 20:30,M.BAŞAKŞEHİR-Ç.RİZESPOR,27.09.2019 - 30.09.2019,1,5 - 0
28.09.2019 15:00,DENİZLİSPOR-KASIMPAŞA A.Ş.,27.09.2019 - 30.09.2019,2,0 - 1
28.09.2019 17:30,A.ALANYASPOR-SİVASSPOR,27.09.2019 - 30.09.2019,0,1 - 1
28.09.2019 20:00,GALATASARAY A.Ş.-FENERBAHÇE A.Ş.,27.09.2019 - 30.09.2019,0,0 - 0
29.09.2019 14:00,KONYASPOR-KAYSERİSPOR,27.09.2019 - 30.09.2019,1,2 - 1
29.09.2019 16:30,ANTALYASPOR A.Ş.-YENİ MALATYASPOR,27.09.2019 - 30.09.2019,1,3 - 0
29.09.2019 16:30,MKE ANKARAGÜCÜ-GENÇLERBİRLİĞİ,27.09.2019 - 30.09.2019,1,2 - 1
29.09.2019 19:00,TRABZONSPOR A.Ş.-BEŞİKTAŞ A.Ş.,27.09.2019 - 30.09.2019,1,4 - 1
30.09.2019 20:00,GAZİŞEHİR GAZİANTEP-GÖZTEPE A.Ş.,27.09.2019 - 30.09.2019,0,1 - 1
28.09.2019 19:30,EVERTON-MANCHESTER CİTY,27.09.2019 - 30.09.2019,2,1 - 3
28.09.2019 22:00,A.MADRİD-REAL MADRİD,27.09.2019 - 30.09.2019,0,0 - 0
28.09.2019 17:00,GETAFE-BARCELONA,27.09.2019 - 30.09.2019,2,0 - 2
28.09.2019 16:30,PADERBORN 07-B.MÜNİH,27.09.2019 - 30.09.2019,2,2 - 3
29.09.2019 21:45,MİLAN-FİORENTİNA,27.09.2019 - 30.09.2019,2,1 - 3
30.09.2019 22:00,MANCHESTER UNİTED-ARSENAL,27.09.2019 - 30.09.2019,0,1 - 1
02.11.2019 20:00,ANTALYASPOR A.Ş.-BEŞİKTAŞ A.Ş.,01.11.2019 - 04.11.2019,2,1 - 2
10.11.2019 19:00,BEŞİKTAŞ A.Ş.-DENİZLİSPOR,08.11.2019 - 10.11.2019,1,1 - 0
